id,keyword,sdggoal,target,reference1,reference2,Note
1,Discrimination,1,1.1,0,-,
2,Discriminatory,1,1.1,0,-,
3,End poverty,1,1.1,0,-,
4,Extreme poverty,1,1.1,0,-,
5,Millennium Development Goals ,1,1.1,19,-,
6,Over population,1,1.1,0,-,
7,Poor and vulnerable,1,1.1,0,-,
8,Poor household ,1,1.1,14,-,
9,Poverty,1,1.1,0,-,
10,Poverty alleviation ,1,1.1,8,-,
11,Poverty determinant ,1,1.1,16,-,
12,Poverty eradication ,1,1.1,7,-,
13,Poverty in all its forms and dimensions ,1,1.1,19,-,
14,Poverty line ,1,1.1,7,-,
15,Poverty reduction ,1,1.1,16,-,
16,Quality of Life,1,1.1,0,-,
17,reduce vulnerability ,1,1.1,7,-,
18,Refugee crisis,1,1.1,0,-,
19,Refugee rights,1,1.1,0,-,
20,End poverty,1,1.2,0,-,
21,Poor and vulnerable,1,1.2,0,-,
22,Poor household,1,1.2,14,-,
23,Poverty,1,1.2,0,-,
24,Poverty alleviation ,1,1.2,8,-,
25,Poverty determinant ,1,1.2,16,-,
26,Poverty eradication,1,1.2,7,-,
27,Poverty in all its forms and dimensions ,1,1.2,19,-,
28,Poverty line ,1,1.2,7,-,
29,Poverty reduction ,1,1.2,16,-,
30,reduce vulnerability ,1,1.2,7,-,
31,Child labor ,1,1.3,7,-,
32,Child labour ,1,1.3,7,-,
33,Discrimination,1,1.3,0,-,
34,Discriminatory,1,1.3,0,-,
35,Disease,1,1.3,0,-,
36,Financial aid ,1,1.3,7,-,
37,Financial inclusion,1,1.3,0,-,
38,Food bank ,1,1.3,7,-,
39,Health,1,1.3,0,-,
40,Health care cost ,1,1.3,7,-,
41,Income equality,1,1.3,0,-,
42,Income inequality,1,1.3,0,-,
43,left behind children ,1,1.3,11,-,
44,Non-discrimination,1,1.3,0,-,
45,Over population,1,1.3,0,-,
46,Poor and vulnerable,1,1.3,0,-,
47,Poor household ,1,1.3,14,-,
48,Poverty,1,1.3,0,-,
49,Poverty alleviation ,1,1.3,8,-,
50,Poverty determinant ,1,1.3,16,-,
51,Poverty eradication ,1,1.3,7,-,
52,Poverty in all its forms and dimensions ,1,1.3,19,-,
53,Poverty line ,1,1.3,7,-,
54,Poverty reduction ,1,1.3,16,-,
55,reduce vulnerability ,1,1.3,7,-,
56,Refugee crisis,1,1.3,0,-,
57,Refugee rights,1,1.3,0,-,
58,Safty net ,1,1.3,7,-,
59,Social disaster ,1,1.3,7,-,
60,Social protection ,1,1.3,7,-,
61,Social protection system ,1,1.3,7,-,
62,Social wellbeing ,1,1.3,3,-,
63,Vulnerable,1,1.3,0,-,
64,"WASH water, sanitation and hygiene",1,1.3,0,-,
65,"Water, Sanitation and Hygiene for All ",1,1.3,0,-,
66,Homelessness ,1,1.3,20,-,
67,Access to financial services,1,1.4,0,-,
68,Addis Ababa Action Agenda ,1,1.4,19,-,
69,Agriculture ,1,1.4,7,-,
70,Basic service,1,1.4,0,-,
71,Control of property ,1,1.4,7,16,
72,Control over land ,1,1.4,19,-,
73,Digital experience ,1,1.4,3,-,
74,Digital experience ,1,1.4,3,-,
75,Digitalisation ,1,1.4,3,-,
76,Digitalization ,1,1.4,3,-,
77,Disadvantaged,1,1.4,0,-,
78,Discrimination,1,1.4,0,-,
79,Discriminatory,1,1.4,0,-,
80,Disease,1,1.4,0,-,
81,Economic resource ,1,1.4,7,-,
82,Education ,1,1.4,0,-,
83,Electrical power,1,1.4,0,-,
84,Electricity,1,1.4,0,-,
85,Equal access ,1,1.4,4,-,
86,Equality,1,1.4,0,-,
87,Financial aid ,1,1.4,7,-,
88,Financial inclusion,1,1.4,0,-,
89,Health,1,1.4,0,-,
90,inclusive transportation ,1,1.4,7,-,
91,Income equality,1,1.4,0,-,
92,Income inequality,1,1.4,0,-,
93,Indigenous ,1,1.4,20,-,
94,Inequalities ,1,1.4,14,-,
95,Inequality ,1,1.4,14,-,
96,Inequities ,1,1.4,14,-,
97,Inequity,1,1.4,0,-,
98,land ownership ,1,1.4,7,16,
99,Land tenure ,1,1.4,7,16,
100,left behind children ,1,1.4,11,-,
101,Microfinance ,1,1.4,7,-,
102,Migrant rights,1,1.4,0,-,
103,Migration and policy,1,1.4,0,-,
104,Non-discrimination,1,1.4,0,-,
105,Oportunidades ,1,1.4,16,-,
106,Over population,1,1.4,0,-,
107,Overuse of resource ,1,1.4,17,-,
108,Poor and vulnerable,1,1.4,0,-,
109,Poor household ,1,1.4,14,-,
110,Poverty,1,1.4,0,-,
111,Poverty alleviation ,1,1.4,8,-,
112,Poverty determinant ,1,1.4,16,-,
113,Poverty eradication ,1,1.4,7,-,
114,Poverty in all its forms and dimensions ,1,1.4,19,-,
115,Poverty line ,1,1.4,7,-,
116,Poverty reduction ,1,1.4,16,-,
117,PROGRESA ,1,1.4,16,-,
118,Public infrastructure ,1,1.4,7,-,
119,Quality of Life,1,1.4,0,-,
120,reduce vulnerability ,1,1.4,7,-,
121,Refugee crisis,1,1.4,0,-,
122,Refugee rights,1,1.4,0,-,
123,Resource overuse ,1,1.4,17,-,
124,Rural finance ,1,1.4,16,-,
125,Rural poverty ,1,1.4,16,-,
126,Safty net ,1,1.4,7,-,
127,Sanitation,1,1.4,0,-,
128,Sharing economy ,1,1.4,7,-,
129,Small farmer ,1,1.4,16,-,
130,Smallholder ,1,1.4,16,-,
131,Technological capabilities,1,1.4,0,-,
132,Technological development ,1,1.4,7,-,
133,technology services ,1,1.4,7,-,
134,Tenure rights ,1,1.4,7,16,
135,Vulnerable,1,1.4,0,-,
136,Water infrastructure ,1,1.4,16,-,
137,Water resources,1,1.4,0,-,
138,Water saving ,1,1.4,7,-,
139,Water supply,1,1.4,0,-,
140,Wealth distribution,1,1.4,0,-,
141, Low carbon,1,1.5,0,-,
142,Addis Ababa Action Agenda ,1,1.5,19,-,
143,Contaminated ,1,1.5,0,-,
144,Contamination ,1,1.5,7,-,
145,Crops,1,1.5,0,-,
146,Drought,1,1.5,0,-,
